Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,enhanced_birth_year,match_status
5062,David Rowland,American,Male,1924.0,,,,api_error
5063,John Roy,American,Male,1930.0,2001.0,,,api_error
5064,L. Roy,French,,,,,,api_error
5065,Pierre Roy,French,Male,1880.0,1950.0,,,api_error
5066,Olga Rozanova,Russian,Female,1886.0,1918.0,,,api_error
5067,Félix Rozen,French,Male,1938.0,2013.0,,,api_error
5068,Richards Ruben,American,Male,1925.0,1998.0,,,api_error
5069,Ernö Rubik,Hungarian,Male,1944.0,,,,api_error
5070,Reuven Rubin,Israeli,Male,1893.0,1974.0,,,api_error
5071,Leo Rubinfien,American,Male,1953.0,,,,api_error
5072,Mabel Rubli,Argentine,Female,1933.0,,,,api_error
5074,A. Ruckstuhl,Nationality unknown,,,,,,api_error
5075,Dorothy Ruddick,American,Female,1925.0,,,,api_error
5076,Paul Rudolph,American,Male,1918.0,1997.0,,,api_error
5077,Anton Rüegg,Swiss,Male,,,,,api_error
5078,Antonio Ruiz,Mexican,Male,1897.0,1964.0,,,api_error
5079,Gregory Rukavina,American,Male,,,,,api_error
5080,Knut Rumohr,Norwegian,Male,1916.0,2002.0,,,api_error
5081,Robert Miles Runyan,American,Male,1925.0,,,,api_error
5082,Margit Ruoff,German,Female,1937.0,,,,api_error
5083,Sheron Rupp,American,Female,1943.0,,,,api_error
5084,Allen Ruppersberg,American,Male,1944.0,,,,api_error
5086,Edward Ruscha,American,Male,1937.0,,,,api_error
5088,Henry Rushburg,British,Male,,,,,api_error
5090,Irving Rusinow,American,Male,1914.0,1990.0,,,api_error
5091,Andrew Joseph Russell,American,Male,1830.0,1902.0,,,api_error
5092,Deane Russell,Canadian,Male,,,,,api_error
5093,Morgan Russell,American,Male,1886.0,1953.0,,,api_error
5094,Mario Russo,Italian,Male,1925.0,,,,api_error
5095,Reiner Ruthenbeck,German,Male,1937.0,2016.0,,,api_error
5096,Viktor Rutz,Swiss,Male,1913.0,,,,api_error
5097,Anne Ryan,American,Female,1889.0,1954.0,,,api_error
5098,Robert Ryman,American,Male,1930.0,,,,api_error
5099,Théo van Rysselberghe,Belgian,Male,1862.0,1926.0,,,api_error
5102,Betye Saar,American,Female,1926.0,,,,api_error
5103,Eero Saarinen,American,Male,1910.0,1961.0,,,api_error
5104,Roland Sabatier,French,Male,1942.0,,,,api_error
5105,Lino Sabattini,Italian,Male,1925.0,,,,api_error
5106,José Sabogal,Peruvian,Male,1888.0,1956.0,,,api_error
5107,Deli Sacilotto,Canadian,Male,,,,,api_error
5108,Rolf Sackenheim,German,Male,,,,,api_error
5110,George Sadek,American,Male,1928.0,,,,api_error
5112,Donald Saff,American,Male,1937.0,,,,api_error
5114,Saint-Edme,French,,,,,,api_error
5116,Kiyoshi Saito,Japanese,Male,1907.0,1997.0,,,api_error
5117,Takako Saito,American,Female,1929.0,,,,api_error
5118,Asao Sakamoto,Japanese,Male,1950.0,,,,api_error
5119,Ben Sakoguchi,American,Male,1938.0,,,,api_error
5120,Jack Sal,American,Male,1954.0,,,,api_error
5121,Ibrahim El Salahi,Sudanese,Male,1930.0,,,,api_error
5122,Attilio Salemme,American,Male,1911.0,1955.0,,,api_error
5123,Charles Salisbury,British,Male,,,,,api_error
5124,David Salle,American,Male,1952.0,,,,api_error
5125,Steve Salmieri,American,Male,1945.0,,,,api_error
5126,Erich Salomon,German,Male,1886.0,1944.0,,,api_error
5127,John Salt,British,Male,1937.0,,,,api_error
5128,Axel Salto,Danish,Male,1889.0,1961.0,,,api_error
5129,Alberto Salvati,Italian,Male,1935.0,,,,api_error
5131,Dana Salvo,American,Male,1952.0,,,,api_error
5132,Auguste Salzmann,French,Male,1824.0,1872.0,,,api_error
5133,Mohan B. Samant,Indian,Male,1926.0,2004.0,,,api_error
5134,Lucas Samaras,American,Male,1936.0,,,,api_error
5136,Roberto Sambonet,Italian,Male,1924.0,1995.0,,,api_error
5137,Gilván Samico,Brazilian,Male,1928.0,,,,api_error
5138,Ralph Samuels,American,Male,,,,,api_error
5139,America Sanchez,Spanish,Female,1939.0,,,,api_error
5140,Emilio Sanchez,American,Male,1921.0,1999.0,,,api_error
5141,Humberto Jaimes Sanchez,Venezuelan,Male,1930.0,2003.0,,,api_error
5143,Fred Sandback,American,Male,1943.0,2003.0,,,api_error
5144,Willem Jacob Henri Berend Sandberg,Dutch,Male,1897.0,1984.0,,,api_error
5145,August Sander,German,Male,1876.0,1964.0,,,api_error
5146,Ludwig Sander,American,Male,1906.0,1975.0,,,api_error
5147,Benita Sanders,Canadian,Female,,,,,api_error
5148,Joop Sanders,American,Male,1921.0,,,,api_error
5149,Douglas Sandhage,American,Male,1947.0,,,,api_error
5150,Armin Sandig,German,Male,,,,,api_error
5151,Barbara Sandler,American,Female,1943.0,,,,api_error
5152,Arturo Sandoval,American,Male,1942.0,,,,api_error
5153,Rolf Sandquist,Nationality unknown,Male,,,,,api_error
5154,Alberto Sani,Italian,Male,1900.0,1964.0,,,api_error
5155,Juvenal Sansó,Spanish,Male,1929.0,,,,api_error
5157,Tomas Santa Rosa Junior,Brazilian,Male,,,,,api_error
5158,Jerry Santbergen,Nationality unknown,Male,,,,,api_error
5159,Pasquale (Patsy) Santo,American,Male,1893.0,1975.0,,,api_error
5160,Giuseppe Santomaso,Italian,Male,1907.0,1990.0,,,api_error
5161,Pasquale Santoro,Italian,Male,1933.0,,,,api_error
5162,Richard Sapper,German,Male,1932.0,2015.0,,,api_error
5163,Alan Saret,American,Male,1944.0,,,,api_error
5164,Gino Sarfatti,Italian,Male,1912.0,1985.0,,,api_error
5166,Sarkis (Sarkis Zabunyan),French,Male,1938.0,,,,api_error
5167,Paul Sarkisian,American,Male,1928.0,,,,api_error
5168,Timo Sarpaneva,Finnish,Male,1926.0,2006.0,,,api_error
5169,Enrico Sarsini,American,Male,1938.0,,,,api_error
5170,Takao Sasai,Japanese,Male,1956.0,,,,api_error
5171,Aligi Sassu,Italian,Male,1912.0,2000.0,,,api_error
5172,Ado Sato,Japanese,Male,1936.0,1994.0,,,api_error
5173,Koichi Sato,Japanese,Male,1944.0,,,,api_error
5174,Key Sato,Japanese,Male,1906.0,1978.0,,,api_error
5176,Michel Sauer,German,Male,1949.0,,,,api_error
5177,Saul,American,,,,,,api_error
5178,Peter Saul,American,Male,1934.0,,,,api_error
5179,David Saunders,American,Male,1954.0,,,,api_error
5180,Raymond Saunders,American,Male,1934.0,,,,api_error
5181,Antonio Saura,Spanish,Male,1930.0,1998.0,,,api_error
5182,C. R. Savage,American,Male,1832.0,1909.0,,,api_error
5183,Naomi Savage,American,Female,1927.0,2005.0,,,api_error
5184,Angelo Savelli,Italian,Male,1911.0,1995.0,,,api_error
5185,Raymond Savignac,French,Male,1907.0,2002.0,,,api_error
5186,Tad Savinar,American,Male,1950.0,,,,api_error
5187,Robert Savoie,Nationality unknown,Male,,,,,api_error
