Artist ID,Name,Nationality,Gender,Birth Year,Death Year
4260,Gerda Mikhailova Nemenova,Russian,Female,,
4271,Netzler,Swedish,,,
4273,Neumann,Nationality unknown,,,
4275,Hannes Neuner,German,Male,,
4282,Newcombe,Nationality unknown,,,
4287,Billie Newmarch,American,,,
4292,Jim Nichols,Nationality unknown,Male,,
4300,Roberto Niederer,Swiss,Male,,
4321,Werner Nöfer,German,Male,,
4332,Wim Noordhoek,Nationality unknown,,,
4337,Noury,Czech,,,
4367,Obikawa Seijiro,,,,
4380,Haruzo Ohashi,Japanese,Male,,
4382,Hajime Ohigashi,Japanese,Female,,
4383,Ohmae Hiroshi,Japanese,Female,,
4404,Axel Olson,Swedish,Male,,
4408,Toni Onley,Canadian,Male,,
4423,Alex Oris,Nationality unknown,,,
4425,Alicia Orlandi,Argentine,Female,,
4432,Orrby,Swedish,,,
4433,Emilio Ortiz,Mexican,Male,,
4449,Otto & Fiere,French,,,
4453,Marion Overby,American,,1909.0,
4456,Owo,German,,,
4457,Tetsoro Oya,Japanese,Male,,
4495,Jean-Luc Parant,Tunisian,Male,,
4512,Roi Partridge,American,Male,,
4516,Leonid Pasternak,Russian,Male,,
4518,Angelo Patin,Italian,Male,,
4522,Peter Paul,German,Male,,
4523,Tony Paul,American,Male,,
4536,Pedrero,Spanish,,,
4542,Pellegrini,Swiss,,,
4555,David Peretz,Nationality unknown,Male,,
4557,Rossini Perez,Brazilian,Male,,
4563,Oliva Perotes,Spanish,Female,,
4573,P. Petersen,Swedish,,,
4582,Wolfgang Petrik,German,Male,,
4583,Petronio,Nationality unknown,,,
4585,Mischa Petrow,Nationality unknown,Male,,
4595,Georg-Karl Pfahler,German,Male,,
4604,Photographie Modèle,French,,,
4619,L. Pierson,French,,,
4624,Mick Pilcher,British,Male,,
4628,I. G. Pinlats,Spanish,,1901.0,
4630,Jacob Pins,German,Male,,
4639,Woody Pirtle,American,Male,,
4644,Arthur Luis Piza,Brazilian,Male,,
4651,Philip Platt,American,Male,,
4652,Henri Plaut,French,Male,,
4656,William Lansing Plumb and Associates,American,,1963.0,
4658,Michael Podulke,American,Male,,
4678,Gaetano Pompa,Italian,Male,,
4686,Isabel Pons,Brazilian,Female,,
4695,Popp-Kircheim,Nationality unknown,,,
4697,V. Lorenzo Porcelli,American,,1933.0,
4698,Porsche Design Group,German,,1948.0,
4733,Zlatko Prica,,,,
4747,Boris Prusakov,Russian,Male,,
4750,H. B. Puchingen,Austrian,,,
4768,Edme Quenedey,French,Male,,
4772,Achille Quinet,French,Male,,1900.0
4778,Fanny Rabel,Mexican,Female,,
4780,Michael Rabinowitz,British,Male,,
4789,J. V. Raffaelli,French,,,
4798,Natacha Rambova,American,Female,,
4815,Rapier,British,,,
4816,Umberto Raponi,Nationality unknown,Male,,
4820,Marc Ratliff,American,Male,,
4825,Peter Ray,British,Male,,
4833,George Reavey,Nationality unknown,Male,,
4834,Jean Reavey,Nationality unknown,Male,,
4844,Helge Refn,Danish,Female,,
4855,Winfried Reinbacher,German,Male,,
4860,Reiss,British,,,
4861,Nancy Reitkopf,Nationality unknown,Female,,
4864,F. A. Renard,French,,,
4887,John Reynolds,British,Male,,
4898,Burton Rice,American,Male,,
4920,S. H. Riesenberg,American,,1885.0,1962.0
4923,P. Riffaut,French,,,
4927,Rigobaldi,Italian,,,
4935,Jozsef Rippl-Rónai,Hungarian,Male,,
4944,Jacinto H. Rivero Castilla,Peruvian,Male,,
4958,Henry B. Robertson,American,Male,,
4970,Rocher,French,,,
4973,Rockwood and Company,American,,1832.0,1911.0
4979,Mary Rodney,American,Female,,
4982,Juan Carlos Rodriguez,Nationality unknown,Male,,
4985,Jenny Roed,German,Female,,
4986,Herman Roeg,American,Male,,
4992,John C. Rogers,Nationality unknown,Male,,
5002,Benedikt Rohner,Swiss,Male,,
5005,K.O.S. (Kids of Survival),American,,1982.0,
5008,Romolo Romani,Italian,Male,,
5011,Gust Romijn,Dutch,Male,,
5013,Nelson Ronsheim,American,Male,,
5014,Leonardo Rosa,Nationality unknown,Male,,
5024,"Rosenthal Porzellan A.g., company design",German,,1879.0,
5025,Stephan Rosenthal,American,Male,,
5026,Lauri Rosenwald,American,Female,,
5027,Henry Rosling,British,Male,,
5035,Rossmann,Nationality unknown,,,
5045,Michael Rothenstein,British,Male,,
5054,Kosti Ruohomaa,American,,,
5060,Riba Rovira,Spanish,Female,,
5061,Rowe,British,,,
