Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,match_status,source
1267,Robert Cottingham,American,Male,1935.0,,,,
1270,Jack Coughlin,American,Male,1932.0,,,,
1272,Coulon,French,,1907.0,,,,
1281,Robert Cowan,American,Male,1930.0,,,,
1282,Clement Cowles,British,Male,,,,,
1286,Tony Cragg,British,Male,1949.0,,,,
1288,Michael Craig-Martin,British,Male,1941.0,,,,
1290,Martin Crampton,Nationality unknown,Male,,,,,
1292,Barbara Crane,American,Female,1928.0,,,,
1293,Meg Cranston,American,Female,1960.0,,,,
1294,Crash (John Matos),American,Male,1961.0,,,,
1297,Mario Cravo Junior,Brazilian,Male,1923.0,,,,
1301,Robert Cremean,American,Male,1932.0,,,,
1304,L. Crenuere & Cie.,French,,,,,,
1308,Renato Cristiano,Italian,Male,1926.0,,,,
1314,Wim Crouwel,Dutch,Male,1928.0,,,,
1321,Carlos Cruz-Diez,Venezuelan,Male,1923.0,,,,
1322,John J. Cu Roi,American,Male,1920.0,,,,
1323,Enzo Cucchi,Italian,Male,1949.0,,,,
1324,Cudsen,British,,,,,,
1325,José Luis Cuevas,Mexican,Male,1934.0,,,,
1327,Gordon Cullen,British,Male,1914.0,,,,
1330,Robert Cumming,American,Male,1943.0,,,,
1331,José Alfonso Cuni,Nationality unknown,Male,,,,,
1334,John Timothy Curran,American,Male,1938.0,,,,
1335,Anthony Currell,British,Male,1942.0,,,,
1336,William R. Current,American,Male,1923.0,,,,
1340,Rolf Curt,German,Male,,,,,
1344,Ronnie Cutrone,American,Male,1948.0,,,,
1346,Gunnar Cyrén,Swedish,Male,1931.0,,,,
1347,Jerzy Czerniawski,Polish,,1947.0,,,,
1353,Alfredo da Silva,Bolivian,Male,1935.0,,,,
1355,Dagron & Cie.,French,,,,,,
1359,Walter Dahn,German,Male,1954.0,,,,
1360,Wolfgang Dahnke,Nationality unknown,Male,,,,,
1362,Hajime Daito,Japanese,Female,,,,,
